Date,Open,High,Low,Close,Adj Close,Volume
24/09/2015,5961.49,6032.24,6055.64,5947.19,894.32M,13317001733
25/09/2015,6109.01,5961.49,6120.67,5961.49,863.42M,11166012913
28/09/2015,5958.86,6109.01,6110.31,5958.86,997.74M,26062404610
29/09/2015,5909.24,5958.86,5958.86,5877.08,1.03B,20386398516
30/09/2015,6061.61,5909.24,6061.61,5909.24,1.05B,24662841200
01/10/2015,6072.47,6061.61,6172.78,6053.26,873.58M,20535363434
02/10/2015,6129.98,6072.47,6176.2,6051.62,888.46M,22660763494
05/10/2015,6298.92,6129.98,6301.05,6129.98,890.10M,16644534842
06/10/2015,6326.16,6298.92,6343.71,6255.1,737.90M,16100721565
07/10/2015,6336.35,6326.16,6396.34,6319.77,1.02B,26811744928
08/10/2015,6374.82,6336.35,6380.3,6303.46,742.31M,30476264066
09/10/2015,6416.16,6374.82,6453.22,6374.82,768.20M,30199996781
12/10/2015,6371.18,6416.16,6416.16,6351.34,552.28M,31252098714
13/10/2015,6342.28,6371.18,6371.18,6303.02,722.57M,28987376573
14/10/2015,6269.61,6342.28,6342.28,6268.29,638.45M,25555105670
15/10/2015,6338.67,6269.61,6351.43,6269.61,644.98M,19625427158
16/10/2015,6378.04,6338.67,6398.23,6338.67,610.63M,41358451255
19/10/2015,6352.33,6378.04,6408.09,6336.27,476.84M,39316664596
20/10/2015,6345.13,6352.33,6367.75,6319.25,592.20M,32483312909
21/10/2015,6348.42,6345.13,6387.29,6316.3,615.20M,26792596581
22/10/2015,6376.28,6348.42,6387.28,6321.65,740.62M,23918742607
23/10/2015,6444.08,6376.28,6487.89,6376.28,749.54M,17821046406
26/10/2015,6417.02,6444.08,6453,6405.38,454.68M,16356226232
27/10/2015,6365.27,6417.02,6419.62,6365.27,564.36M,27078406594
28/10/2015,6437.8,6365.27,6448.46,6355.78,819.72M,32572572185
29/10/2015,6395.8,6437.8,6437.85,6358.16,852.19M,25371367758
30/10/2015,6361.09,6395.8,6410.28,6337.65,738.50M,27187964471
02/11/2015,6361.8,6361.09,6364.42,6317.29,522.27M,23825006542
